"","sample","campaignid.x","family","unique.name","genus","full.name","species","maxn","campaignid.y","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","deployment","cluster","notes"
"49","12","2020-06_south-west_stereo-BRUVs","Scorpaenidae","Scorpaenidae Scorpaena sumptuosa","Scorpaena","Scorpaena sumptuosa","sumptuosa",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"50","12","2020-06_south-west_stereo-BRUVs","Scorpididae","Scorpididae Neatypus obliquus","Neatypus","Neatypus obliquus","obliquus",17,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"51","12","2020-06_south-west_stereo-BRUVs","Serranidae","Serranidae Epinephelides armatus","Epinephelides","Epinephelides armatus","armatus",3,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"52","12","2020-06_south-west_stereo-BRUVs","Sparidae","Sparidae Chrysophrys auratus","Chrysophrys","Chrysophrys auratus","auratus",5,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"53","12","2020-06_south-west_stereo-BRUVs","Triakidae","Triakidae Furgaleus macki","Furgaleus","Furgaleus macki","macki",1,"2020-06_south-west_stereo-BRUVs",-34.132262,114.928545,20200602,"12:03","South-west","No-take",NA,40.1,"Hayley","Yes",NA,"Jun-20","c1","no"
"54","13","2020-06_south-west_stereo-BRUVs","Carangidae","Carangidae Seriola hippos","Seriola","Seriola hippos","hippos",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"55","13","2020-06_south-west_stereo-BRUVs","Cheilodactylidae","Cheilodactylidae Nemadactylus valenciennesi","Nemadactylus","Nemadactylus valenciennesi","valenciennesi",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"56","13","2020-06_south-west_stereo-BRUVs","Dasyatidae","Dasyatidae Bathytoshia brevicaudata","Bathytoshia","Bathytoshia brevicaudata","brevicaudata",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"57","13","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Austrolabrus maculatus","Austrolabrus","Austrolabrus maculatus","maculatus",1,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
"58","13","2020-06_south-west_stereo-BRUVs","Labridae","Labridae Coris auricularis","Coris","Coris auricularis","auricularis",4,"2020-06_south-west_stereo-BRUVs",-34.128506,114.930547,20200602,"12:09","South-west","No-take",NA,45.2,"Hayley","Yes",NA,"Jun-20","c1","too close to 1"
