Longitude,Latitude,class,BRUVid,Sample
114.8813721,-34.05118897,MBH,154,IO154
114.8838721,-34.04368897,MBH,155,IO155
114.8763721,-34.04868897,MBH,156,IO156
114.8238721,-33.97118897,MBH,157,IO157
114.8188721,-33.98118897,MBH,158,IO158
114.8338721,-34.00118897,MBH,159,IO159
114.8388721,-34.00368897,MBH,160,IO160
114.8313721,-34.00868897,MBH,161,IO161
114.8363721,-33.99618897,MBH,162,IO162
114.8288721,-34.00118897,MBH,163,IO163
114.9038721,-34.03368897,MBH,164,IO164
114.8988721,-34.04368897,MBH,165,IO165
114.9088721,-34.04618897,MBH,166,IO166
114.5838721,-34.00868897,MBH,167,IO167
114.4638721,-33.98118897,MBH,168,IO168
114.4763721,-33.98618897,MBH,169,IO169
114.4763721,-33.99118897,MBH,170,IO170
114.4713721,-33.98868897,MBH,171,IO171
114.4713721,-33.98368897,MBH,172,IO172
114.8313721,-33.99368897,MBH,173,IO173
114.8413721,-33.99618897,MBH,174,IO174
114.6763721,-33.98868897,MBH,175,IO175
114.7288721,-34.02868897,MBH,176,IO176
114.7313721,-34.01368897,MBH,177,IO177
114.7238721,-34.01868897,MBH,178,IO178
114.7338721,-34.02368897,MBH,179,IO179
114.7038721,-33.99618897,MBH,180,IO180
114.6988721,-33.98868897,MBH,181,IO181
114.6938721,-33.99368897,MBH,182,IO182
114.9113721,-34.03618897,MBH,183,IO183
114.9038721,-34.04118897,MBH,184,IO184
114.6638721,-33.98868897,MBH,189,IO189
114.6788721,-33.99368897,MBH,190,IO190
114.6713721,-33.99868897,MBH,191,IO191
114.6688721,-33.98618897,MBH,192,IO192
114.6713721,-33.99118897,MBH,193,IO193
114.6638721,-33.99618897,MBH,194,IO194
114.8588721,-34.09368897,Legacy,195,IO195
114.8713721,-34.08618897,Legacy,196,IO196
114.8638721,-34.09118897,Legacy,197,IO197
114.8688721,-34.09618897,Legacy,198,IO198
114.8613721,-34.08618897,Legacy,199,IO199
114.8388721,-34.04618897,Legacy,200,IO200
114.8338721,-34.05618897,Legacy,201,IO201
114.8438721,-34.04868897,Legacy,202,IO202
114.7713721,-34.06368897,Legacy,203,IO203
114.7863721,-34.06618897,Legacy,204,IO204
114.8013721,-34.07118897,Legacy,205,IO205
114.7913721,-34.06368897,Legacy,206,IO206
114.7863721,-34.06118897,Legacy,207,IO207
114.7988721,-34.06618897,Legacy,208,IO208
114.7913721,-34.07118897,Legacy,209,IO209
114.8738721,-34.09118897,Legacy,210,IO210
114.9063721,-34.05618897,Legacy,211,IO211
114.9163721,-34.04868897,Legacy,212,IO212
114.9113721,-34.05868897,Legacy,213,IO213
114.9113721,-34.05368897,Legacy,214,IO214
114.9263721,-34.06868897,Legacy,215,IO215
