"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone"
"2020-06_south-west_stereo-BRUVs","07","07_L564 (5).MP4","1","24.79366","Heterodontidae","Heterodontus","portusjacksoni",NA,2,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (6).MP4","1","34.70356","Labridae","Austrolabrus","maculatus",NA,3,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (2).MP4","1","2.68657","Labridae","Coris","auricularis",NA,7,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (7).MP4","1","44.89763","Labridae","Eupetrichthys","angustipes",NA,1,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (4).MP4","1","22.47245","Labridae","Ophthalmolepis","lineolatus",NA,3,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (2).MP4","1","1.38194","Labridae","Pseudolabrus","biserialis",NA,2,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (8).MP4","1","51.13775","Monocentrididae","Cleidopus","gloriamaris",NA,2,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (3).MP4","1","13.73483","Myliobatidae","Myliobatis","tenuicaudatus",NA,1,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","07","07_L564 (5).MP4","1","28.35611","Urolophidae","Trygonoptera","ovalis",NA,1,NA,"MBH","-34.134771","114.910241","20200602","10:16","South-west","No-take","c3","43.9","Hayley","Yes",NA,"National Park Zone",NA
"2020-06_south-west_stereo-BRUVs","08","08_L367.avi","1","55.92800","Aplodactylidae","Aplodactylus","westralis",NA,1,NA,"MBH","-34.129352","114.911755","20200602","13:48","South-west","No-take","c3","39.6","Hayley","Yes",NA,"National Park Zone",NA
