"campaignid","dataset","planned.or.exploratory","sample","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO352","-34.03618897","114.5988721","20201123","09:43",NA,NA,NA,"133","Rachel","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO323","-34.03103333","114.6001","20201123","09:48",NA,NA,NA,"141","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO263","-34.00868897","114.8788721","20201019","09:52:00",NA,NA,NA,"42.4","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO307","-34.11868897","114.7263721","20201022","09:56:00",NA,NA,NA,"128","Daphne - finishes at 59:36","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO350","-34.02618897","114.6038721","20201123","09:56",NA,NA,NA,"135","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO369","-34.02868897","114.5913721","20201123","10:08",NA,NA,NA,"133","Rachel","Yes","need to measure callanthias school"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO37","-34.10868897","114.7188721","20201022","10:12:00",NA,NA,NA,"130","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO351","-34.03118897","114.5963721","20201123","10:13",NA,NA,NA,"142","Daphne","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO40","-34.10368897","114.7138721","20201022","10:17:00",NA,NA,NA,"131","Brooke Gibbons","Yes","Yes"
"2020-10_south-west_stereo-BRUVs","IO","Captains pick","IOCP2311","-34.01858","114.601465","20201123","10:19",NA,NA,NA,"142","Daphne","Yes","CALs shit, come back"
"2020-10_south-west_stereo-BRUVs","FH","MBH","FH37","-33.71118897","114.8138721","20201012","11:03:00",NA,NA,NA,"44.2","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO338","-33.97231667","114.92245","20201019","11:50:00",NA,NA,NA,"46","Daphne","Yes","Claude"
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO253","-34.01368897","114.7038721","20201123","12:15",NA,NA,NA,"124","Brooke Gibbons","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO364","-34.00868897","114.6888721","20201123","12:21",NA,NA,NA,"130","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","MBH","IO180","-33.99618897","114.7038721","20201123","12:36",NA,NA,NA,"122","Brooke Gibbons","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","Captains pick","IOCP11-1","-33.992845","114.696642","20201123","12:39",NA,NA,NA,"124","Daphne","Yes",NA
"2020-10_south-west_stereo-BRUVs","IO","Captains pick","IOCP11-2","-33.974332","114.692773","20201123","12:47",NA,NA,NA,"124","Daphne","Yes",NA
