"campaignid","sample","slope","aspect","roughness","tpi"
"2020-10_south-west_stereo-BRUVs","FH55",0.0021159490570426,2.26673769950867,1,0.625
"2020-10_south-west_stereo-BRUVs","IO293",0.0119311101734638,4.71238899230957,7,0.125
"2020-10_south-west_stereo-BRUVs","IO330",0.0131406867876649,4.85046339035034,7,-1.625
"2020-10_south-west_stereo-BRUVs","FH109",0.00234628724865615,1.17510485649109,1,0.5
"2020-10_south-west_stereo-BRUVs","IO291",0.0118623459711671,4.19394636154175,8,-1.875
"2020-10_south-west_stereo-BRUVs","IOC04",0.0118204420432448,4.98346567153931,7,-1
"2020-10_south-west_stereo-BRUVs","FH94",0.00938940327614546,3.55689334869385,7,1.5
"2020-10_south-west_stereo-BRUVs","FH11",0.00976757146418095,5.19368696212769,6,0.875
"2020-10_south-west_stereo-BRUVs","FH78",0.0018087369389832,3.14159274101257,1,0.625
"2020-10_south-west_stereo-BRUVs","IO372",0.000705720507539809,4.01692485809326,1,0.125
"2020-10_south-west_stereo-BRUVs","FH67",0.00146047852467746,5.90366268157959,1,0.5
"2020-10_south-west_stereo-BRUVs","FH72",0.00234564300626516,5.10819530487061,2,0.875
"2020-10_south-west_stereo-BRUVs","FH35",0.00234552612528205,4.31656169891357,1,-0.5
"2020-10_south-west_stereo-BRUVs","FH82",0.0018087369389832,5.77315972805081e-15,1,-0.375
"2020-10_south-west_stereo-BRUVs","IO228",0.000705708225723356,5.40786743164062,1,0.125
"2020-10_south-west_stereo-BRUVs","FH50",0.00210639648139477,2.60349941253662,1,-0.5
"2020-10_south-west_stereo-BRUVs","IO379",0.00168861902784556,4.44129705429077,1,-0.25
"2020-10_south-west_stereo-BRUVs","IO49",0.00571541488170624,5.03438806533813,4,0.25
"2020-10_south-west_stereo-BRUVs","FHC",0.00918687414377928,4.6631498336792,5,1.25
"2020-10_south-west_stereo-BRUVs","IO273",0.00423407787457108,4.01688146591187,4,0.5
"2020-10_south-west_stereo-BRUVs","IO328",0.00371979014016688,5.22017669677734,4,-0.625
"2020-10_south-west_stereo-BRUVs","IO329",0.00813879258930683,4.18876504898071,5,-0.625
