OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
FH6	16	0	927.11228	37.77985	507.70199	24.17910
FH6	16	1	964.38405	160.69030	461.36411	147.08955
FH6	17	0	762.97272	266.66045	598.81847	249.86194
FH6	17	1	935.22875	238.45149	762.00839	224.67537
FH6	18	0	139.51731	474.03358	49.86359	449.44403
FH6	18	1	83.60965	272.54104	84.61700	269.61194
FH6	19	0	975.89192	463.86194	764.41028	432.62687
FH6	19	1	1099.79538	353.54478	835.42812	323.82090
FH6	20	0	845.73767	722.55224	550.20776	672.05970
FH6	20	1	990.29171	598.63433	685.19203	566.27612
FH6	21	0	135.25393	439.85821	189.22455	408.74627
FH6	21	1	250.76285	514.41045	263.43232	478.93284
FH6	22	0	1827.32424	776.15672	1633.91396	814.02985
FH6	22	1	1453.09549	829.55224	1228.96118	838.20896
FH6	23	0	1088.09024	252.61567	1032.43966	241.97761
FH6	23	1	1169.18153	183.10075	1099.42812	169.94403
FH6	24	0	1750.76600	612.53731	1704.42812	640.74627
FH6	24	1	1390.13641	598.43284	1339.76915	610.52239
FH6	25	0	678.95068	525.89552	632.61280	495.67164
FH6	25	1	362.64428	537.98507	296.15950	495.67164
FH6	26	0	830.05247	453.35821	703.12697	425.14925
FH6	26	1	453.30535	423.13433	344.51207	382.83582
FH6	27	0	691.03882	523.88060	1091.96222	525.89552
FH6	28	0	1180.22246	967.16418	757.31060	958.09701
FH6	28	1	501.24869	842.01119	354.50157	779.56343
IO332	0	0	1639.95803	703.20896	314.29171	709.25373
IO332	1	0	513.74607	717.31343	826.02308	753.58209
IO332	2	0	1229.78384	991.77612	749.23085	1034.58209
IO333	0	0	1502.95908	938.95522	425.09969	908.73134
IO333	1	0	802.11438	144.88060	976.77125	68.97015
IO333	1	1	132.03043	123.01493	378.34313	89.89552
IO333	2	0	1171.68416	552.00000	1097.64008	478.79104
IO333	2	1	657.94753	468.67164	546.34837	412.10448
IO333	3	0	984.28437	810.20896	994.84365	745.14925
IO333	3	1	1174.82057	788.34328	1200.00630	726.52239
IO333	4	0	896.52781	701.95522	764.07555	633.85075
IO333	4	1	588.26233	647.19403	502.71039	579.23881
IO333	5	0	1211.82686	542.62687	1615.81952	461.86567
IO333	6	0	1372.00420	826.11940	1426.40084	769.70149
IO333	7	0	258.11857	540.70149	210.49003	482.94030
IO333	7	1	755.23085	468.52239	717.49843	418.49254
IO333	8	0	1558.88982	530.04478	1580.37146	450.92537
IO333	8	1	1177.59496	499.95522	1205.84155	428.53731
IO333	9	0	305.16264	583.62687	728.09234	511.07463
IO333	10	0	129.29171	562.44776	553.61280	493.94030
IO333	11	0	1050.26338	405.00000	1267.45121	325.19403
IO333	11	1	610.17209	368.97015	807.28961	306.26866
IO333	12	0	1337.75446	949.02985	932.80168	888.58209
IO333	13	0	139.53095	363.59701	535.89297	313.07463
IO333	14	0	1193.59077	837.56716	978.92340	779.17910
IO333	14	1	905.75656	257.82090	605.74397	196.52239
IO333	15	0	1752.78069	411.04478	1837.39769	306.26866
IO333	16	0	644.70094	689.10448	995.25708	634.70149
IO333	17	0	1057.71249	636.71642	1396.18048	554.10448
IO333	18	0	1197.63903	480.26866	1516.19412	399.41791
IO333	18	1	1406.18678	280.98507	1747.08919	167.22388
IO333	19	0	1711.33683	927.04478	1313.77440	885.13433
IO333	19	1	1250.65373	1033.95522	816.63694	974.01493
IO333	20	0	284.07135	1061.86567	338.46800	1065.89552
IO333	21	0	1345.46800	742.38806	915.78594	686.10448
IO333	21	1	1877.43966	532.26866	1383.51941	475.73134
IO333	22	0	1330.13326	1008.70149	991.92550	954.58209
IO333	22	1	1691.01364	786.05970	1417.44386	722.70149
IO333	23	0	558.08185	864.10448	304.40923	788.20896
IO333	23	1	979.80797	824.62687	705.92550	761.28358
IO333	24	0	355.17419	661.64179	755.73452	589.17910
IO333	24	1	500.48374	640.07463	886.43757	568.37313
FH18	0	0	64.13431	854.52239	86.56558	774.67910
FH18	0	1	256.20147	859.89552	256.80693	756.54478
FH18	1	0	274.15110	798.14179	342.65163	716.46269
FH18	1	1	420.55194	771.27612	504.16264	696.64925
FH18	2	0	800.18048	701.04478	1033.53620	634.70149
FH18	2	1	885.80483	666.79104	1104.05037	598.43284
FH18	3	0	1664.13431	814.02985	1303.50472	767.68657
FH18	3	1	1847.47114	810.00000	1460.65058	761.64179
FH18	4	0	552.66107	1053.80597	553.61175	960.02239
